id,gender,has_car_and_property,income_type,family_status,housing_type,occupation_type,amount_income_total
6778691,Male,1,Commercial associate,Married,House / apartment,Sales staff,382500.0
6591948,Male,1,Working,Married,House / apartment,Security staff,135000.0
6139319,Female,1,Working,Civil marriage,House / apartment,Sales staff,202500.0
6396465,Male,1,Commercial associate,Married,House / apartment,Sales staff,270000.0
6125828,Female,1,Commercial associate,Married,House / apartment,Core staff,112500.0
6098727,Male,1,Working,Married,House / apartment,High skill tech staff,180000.0
5125874,Male,1,Commercial associate,Separated,House / apartment,High skill tech staff,270000.0
5957802,Female,1,Working,Married,House / apartment,Core staff,247500.0
5464909,Male,1,State servant,Civil marriage,Rented apartment,High skill tech staff,202500.0
6033487,Male,1,Working,Civil marriage,House / apartment,High skill tech staff,270000.0
6723049,Female,1,Working,Married,House / apartment,Sales staff,112500.0
6498305,Female,1,Working,Widow,House / apartment,High skill tech staff,180000.0
5548410,Male,1,Working,Married,House / apartment,High skill tech staff,270000.0
6779548,Male,1,State servant,Married,House / apartment,Security staff,94500.0
6064687,Male,1,Working,Married,House / apartment,Sales staff,202500.0
6079803,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,292500.0
6520572,Female,1,Working,Married,House / apartment,Sales staff,225000.0
5314870,Female,1,State servant,Married,House / apartment,Medicine staff,135000.0
5907602,Female,1,Working,Married,House / apartment,Core staff,117000.0
5680135,Female,1,Working,Married,With parents,Core staff,112500.0
6348149,Male,1,State servant,Civil marriage,House / apartment,Core staff,270000.0
5726416,Female,1,Working,Married,House / apartment,Core staff,157500.0
6006874,Male,1,State servant,Married,House / apartment,Core staff,450000.0
6528488,Female,1,Working,Married,House / apartment,Core staff,180000.0
6621119,Female,1,State servant,Married,House / apartment,Core staff,225000.0
5236227,Female,1,Working,Married,Municipal apartment,Core staff,189000.0
5683585,Female,1,Working,Married,House / apartment,Sales staff,112500.0
6234915,Female,1,Working,Married,House / apartment,Private service staff,202500.0
6366512,Male,1,Commercial associate,Civil marriage,House / apartment,High skill tech staff,292500.0
5236034,Male,1,Working,Single / not married,House / apartment,High skill tech staff,256500.0
6091284,Female,1,State servant,Single / not married,House / apartment,Core staff,315000.0
6042444,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,148500.0
6259081,Female,1,Working,Married,House / apartment,Sales staff,90000.0
5919397,Female,1,Working,Married,House / apartment,Core staff,135000.0
6248504,Male,1,Commercial associate,Civil marriage,House / apartment,Sales staff,247500.0
6639517,Female,1,Commercial associate,Married,House / apartment,Sales staff,292500.0
5948778,Female,1,Commercial associate,Married,House / apartment,Private service staff,112500.0
5945665,Female,1,State servant,Married,House / apartment,High skill tech staff,180000.0
5416532,Male,1,State servant,Married,House / apartment,Core staff,585000.0
6233295,Female,1,Working,Married,House / apartment,Cleaning staff,90000.0
5796831,Female,1,Working,Married,House / apartment,Sales staff,112500.0
5036530,Male,1,Working,Married,House / apartment,High skill tech staff,225000.0
6602366,Female,1,Working,Married,House / apartment,Sales staff,270000.0
5905942,Male,1,Commercial associate,Married,House / apartment,Core staff,225000.0
6783323,Female,1,Working,Married,House / apartment,Sales staff,157500.0
6560491,Female,1,Working,Single / not married,House / apartment,Core staff,126000.0
5709530,Male,1,State servant,Single / not married,House / apartment,Core staff,123750.0
5029458,Female,1,Commercial associate,Civil marriage,House / apartment,Core staff,112500.0
5939676,Male,1,Working,Married,House / apartment,Core staff,427500.0
6135033,Female,1,Working,Married,House / apartment,Core staff,112500.0
6722524,Male,1,Working,Married,House / apartment,High skill tech staff,247500.0
6737534,Female,1,State servant,Married,House / apartment,Core staff,225000.0
6472599,Female,1,State servant,Married,House / apartment,Core staff,360000.0
6636545,Female,1,Working,Married,House / apartment,Medicine staff,202500.0
5883152,Female,1,Working,Married,House / apartment,High skill tech staff,180000.0
6486331,Female,1,Working,Married,House / apartment,Core staff,171000.0
5776473,Female,1,Commercial associate,Married,House / apartment,Sales staff,180000.0
5931635,Female,1,Commercial associate,Separated,House / apartment,High skill tech staff,135000.0
5067573,Male,1,Commercial associate,Married,House / apartment,IT staff,180000.0
6539425,Female,1,Working,Single / not married,House / apartment,Core staff,126000.0
6519198,Female,1,Working,Married,House / apartment,Core staff,90000.0
5707239,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,135000.0
5336420,Male,1,Commercial associate,Civil marriage,House / apartment,Sales staff,202500.0
5529431,Male,1,Working,Married,Municipal apartment,Core staff,225000.0
6798776,Male,1,Working,Married,Municipal apartment,Security staff,180000.0
6115726,Male,1,Working,Single / not married,House / apartment,Sales staff,225000.0
5822980,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,315000.0
7833708,Female,1,Working,Married,House / apartment,Core staff,360000.0
6842584,Male,1,Commercial associate,Married,House / apartment,Sales staff,202500.0
5788664,Female,1,Working,Married,House / apartment,Core staff,225000.0
5068385,Female,1,Working,Separated,House / apartment,Sales staff,270000.0
5792167,Female,1,Working,Married,House / apartment,Medicine staff,135000.0
5113409,Male,1,Commercial associate,Single / not married,House / apartment,Sales staff,450000.0
6121776,Male,1,Working,Married,House / apartment,Sales staff,225000.0
5021296,Female,1,Commercial associate,Married,House / apartment,Core staff,180000.0
5598598,Female,1,State servant,Single / not married,House / apartment,Core staff,202500.0
6722540,Male,1,Working,Married,House / apartment,High skill tech staff,247500.0
5091160,Female,1,Commercial associate,Married,House / apartment,Core staff,256500.0
5224684,Male,1,State servant,Married,House / apartment,Core staff,157500.0
6087626,Male,1,Commercial associate,Separated,House / apartment,Core staff,450000.0
6367732,Female,1,Commercial associate,Married,House / apartment,HR staff,180000.0
7068165,Male,1,Working,Married,Municipal apartment,Security staff,247500.0
6741687,Female,1,Working,Married,House / apartment,Sales staff,180000.0
5317994,Female,1,Working,Married,With parents,Core staff,135000.0
6022368,Female,1,Working,Married,House / apartment,Sales staff,225000.0
5934541,Male,1,State servant,Married,House / apartment,Security staff,180000.0
5317852,Female,1,State servant,Married,House / apartment,Core staff,234000.0
5759658,Female,1,Working,Separated,House / apartment,Sales staff,225000.0
6639698,Female,1,Working,Civil marriage,House / apartment,Core staff,270000.0
6311931,Male,1,Working,Married,House / apartment,IT staff,126000.0
6799141,Male,1,Working,Single / not married,House / apartment,Security staff,292500.0
5939032,Female,1,Working,Married,House / apartment,Private service staff,270000.0
6087932,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,360000.0
5166823,Male,1,Commercial associate,Married,House / apartment,Sales staff,225000.0
5549147,Male,1,Working,Single / not married,House / apartment,Core staff,292500.0
6088686,Male,1,Commercial associate,Single / not married,With parents,Sales staff,225000.0
5872564,Female,1,State servant,Civil marriage,House / apartment,Sales staff,148500.0
6591143,Female,1,Working,Married,House / apartment,Waiters/barmen staff,135000.0
5599155,Male,1,State servant,Married,Rented apartment,High skill tech staff,243000.0
5993802,Female,1,Commercial associate,Single / not married,House / apartment,Medicine staff,202500.0
6070392,Female,1,Working,Married,House / apartment,Core staff,315000.0
6484924,Female,1,Commercial associate,Married,House / apartment,Sales staff,270000.0
6367727,Female,1,Commercial associate,Married,House / apartment,HR staff,180000.0
5929638,Female,1,State servant,Single / not married,House / apartment,Core staff,225000.0
5975682,Female,1,Working,Married,House / apartment,Sales staff,270000.0
6395953,Male,1,Working,Civil marriage,House / apartment,Security staff,162000.0
6089303,Female,1,Commercial associate,Single / not married,House / apartment,Sales staff,225000.0
5861072,Female,1,State servant,Married,House / apartment,Medicine staff,540000.0
5090324,Male,1,Working,Married,House / apartment,High skill tech staff,135000.0
6239756,Female,1,Commercial associate,Married,House / apartment,Core staff,157500.0
6423956,Female,1,Commercial associate,Married,House / apartment,Core staff,837000.0
5537745,Male,1,Commercial associate,Married,House / apartment,Core staff,405000.0
6099093,Male,1,Working,Married,House / apartment,Cleaning staff,90000.0
6652010,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,180000.0
5949627,Female,1,Working,Married,House / apartment,Sales staff,252000.0
7022334,Male,1,Commercial associate,Married,House / apartment,Core staff,256500.0
5883148,Female,1,Working,Married,House / apartment,High skill tech staff,180000.0
6472418,Female,1,Working,Married,House / apartment,Sales staff,157500.0
6112185,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,238500.0
6241203,Male,1,Working,Married,House / apartment,Core staff,427500.0
5315081,Male,1,Working,Married,House / apartment,IT staff,180000.0
6498290,Female,1,State servant,Single / not married,House / apartment,Core staff,247500.0
6053717,Male,1,Commercial associate,Married,House / apartment,Sales staff,270000.0
6152844,Female,1,Working,Married,House / apartment,Core staff,270000.0
5726867,Male,1,Working,Married,House / apartment,Security staff,292500.0
5918954,Female,1,Working,Married,House / apartment,Core staff,135000.0
6007804,Female,1,Working,Married,House / apartment,Security staff,225000.0
5833242,Female,1,Working,Married,Office apartment,Core staff,207000.0
6006681,Female,1,Commercial associate,Married,House / apartment,Sales staff,112500.0
5978810,Female,1,Working,Married,House / apartment,Medicine staff,157500.0
6753050,Female,1,Working,Married,House / apartment,Core staff,202500.0
6742706,Female,1,State servant,Single / not married,Rented apartment,Core staff,225000.0
6665586,Female,1,Working,Married,House / apartment,Sales staff,112500.0
5548357,Male,1,Commercial associate,Single / not married,House / apartment,Sales staff,382500.0
6008743,Female,1,Commercial associate,Married,House / apartment,Core staff,405000.0
6248382,Female,1,Working,Widow,House / apartment,High skill tech staff,180000.0
5738748,Male,1,Working,Married,House / apartment,Core staff,135000.0
6507424,Female,1,Working,Married,House / apartment,Sales staff,112500.0
6223776,Female,1,Working,Single / not married,Co-op apartment,Core staff,135000.0
5833697,Female,1,Working,Married,House / apartment,Core staff,360000.0
6087623,Male,1,Commercial associate,Separated,House / apartment,Core staff,450000.0
6742141,Female,1,State servant,Married,House / apartment,Core staff,157500.0
6741658,Female,1,Commercial associate,Single / not married,House / apartment,High skill tech staff,405000.0
6152053,Male,1,Working,Married,House / apartment,High skill tech staff,157500.0
6272246,Female,1,Commercial associate,Married,House / apartment,Sales staff,216000.0
5833853,Male,1,Working,Separated,House / apartment,Sales staff,225000.0
6291828,Female,1,Working,Married,House / apartment,Sales staff,135000.0
7760616,Female,1,Working,Married,House / apartment,Sales staff,630000.0
6737034,Male,1,Working,Married,With parents,Cooking staff,157500.0
6830825,Male,1,Working,Married,House / apartment,High skill tech staff,225000.0
5113315,Female,1,Working,Married,House / apartment,High skill tech staff,153000.0
7028420,Female,1,Working,Married,House / apartment,High skill tech staff,189000.0
5833706,Female,1,Working,Married,House / apartment,Core staff,360000.0
6798501,Male,1,Working,Married,House / apartment,Security staff,135000.0
5113694,Female,1,Working,Civil marriage,House / apartment,Sales staff,247500.0
5625889,Male,1,Commercial associate,Separated,House / apartment,Core staff,243000.0
5796877,Female,1,Working,Married,House / apartment,Core staff,247500.0
7971758,Female,1,Commercial associate,Married,House / apartment,High skill tech staff,360000.0
5626557,Male,1,Commercial associate,Single / not married,House / apartment,Sales staff,193500.0
5857329,Male,1,Commercial associate,Single / not married,House / apartment,Core staff,292500.0
6665181,Female,1,Commercial associate,Separated,Office apartment,Private service staff,360000.0
7126036,Female,1,Working,Separated,House / apartment,Cleaning staff,108000.0
6690578,Male,1,Commercial associate,Married,House / apartment,Security staff,256500.0
6690579,Male,1,Commercial associate,Married,House / apartment,Security staff,256500.0
6652004,Male,1,Commercial associate,Married,House / apartment,High skill tech staff,180000.0
6292393,Female,1,Working,Single / not married,House / apartment,Medicine staff,153000.0
6631430,Female,1,Working,Married,House / apartment,Core staff,157500.0
5024136,Male,1,Working,Married,House / apartment,Core staff,202500.0
6779825,Male,1,Working,Single / not married,House / apartment,Core staff,180000.0
6209417,Female,1,Working,Married,House / apartment,Sales staff,90000.0
5113696,Female,1,Working,Civil marriage,House / apartment,Sales staff,247500.0
5667807,Male,1,Commercial associate,Married,House / apartment,Sales staff,202500.0
5971247,Female,1,Commercial associate,Separated,House / apartment,Private service staff,270000.0
6723299,Male,1,Working,Married,House / apartment,Security staff,162000.0
6106920,Male,1,Commercial associate,Married,With parents,Sales staff,157500.0
7211716,Female,1,Working,Separated,Municipal apartment,Sales staff,180000.0
5010864,Male,1,Commercial associate,Married,House / apartment,Core staff,450000.0
5313600,Female,1,Working,Married,House / apartment,Core staff,180000.0
5499472,Female,1,Working,Married,House / apartment,Sales staff,270000.0
6099513,Female,1,Working,Married,House / apartment,Cleaning staff,112500.0
6243141,Female,1,Working,Married,House / apartment,High skill tech staff,202500.0
6659178,Female,1,Working,Married,House / apartment,Core staff,67500.0
6621124,Female,1,State servant,Married,House / apartment,Core staff,225000.0
6395802,Male,1,Working,Separated,With parents,High skill tech staff,189000.0
5738752,Male,1,Working,Married,House / apartment,Core staff,135000.0
6045686,Female,1,State servant,Married,House / apartment,Core staff,270000.0
6240045,Female,1,State servant,Married,House / apartment,Medicine staff,90000.0
5599153,Male,1,State servant,Married,Rented apartment,High skill tech staff,243000.0
6528486,Female,1,Working,Married,House / apartment,Core staff,180000.0
6575106,Male,1,Working,Married,House / apartment,Security staff,225000.0
6780620,Male,1,State servant,Married,Office apartment,Core staff,216000.0
5010365,Female,1,Working,Separated,House / apartment,Medicine staff,157500.0
6264738,Female,1,Commercial associate,Married,With parents,Core staff,202500.0
5760607,Female,1,Working,Married,House / apartment,Sales staff,630000.0
5029464,Female,1,Commercial associate,Civil marriage,House / apartment,Core staff,112500.0
5089943,Female,1,State servant,Married,House / apartment,Core staff,360000.0
6240044,Female,1,State servant,Married,House / apartment,Medicine staff,90000.0
